PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Chen, Q; Shi, F				Chen, Qun; Shi, Feng			Model for Microcirculation Transportation Network Design	MATHEMATICAL PROBLEMS IN ENGINEERING												The idea of microcirculation transportation was proposed to shunt heavy traffic on arterial roads through branch roads. The optimization model for designing micro-circulation transportation network was developed to pick out branch roads as traffic-shunting channels and determine their required capacity, trying to minimize the total reconstruction expense and land occupancy subject to saturation and reconstruction space constraints, while accounting for the route choice behaviour of network users. Since micro-circulation transportation network design problem includes both discrete and continuous variables, a discretization method was developed to convert two groups of variables (discrete variables and continuous variables) into one group of new discrete variables, transforming the mixed network design problem into a new kind of discrete network design problem with multiple values. The genetic algorithm was proposed to solve the new discrete network design problem. Finally a numerical example demonstrated the efficiency of the model and algorithm.					Shi, Feng/G-3247-2012; Chen, Qun/HGD-0868-2022														1024-123X	1563-5147					2012	2012								379867	10.1155/2012/379867	http://dx.doi.org/10.1155/2012/379867													WOS:000312788400001
J	Hu, N; Li, LY; Bin, HH; Huang, ZK				Hu, Na; Li, Luyan; Bin, Honghua; Huang, Zhenkun			An Impulse-Quantizing Synchronization Approach for Mixed Continuous-Discrete Complex Networks	DISCRETE DYNAMICS IN NATURE AND SOCIETY												This paper presents synchronization of mixed continuous-discrete complex network via impulse-quantizing approach. A delay-partitioning group strategy is proposed and impulse-quantizing control is designed to derive theoretical criteria ensuring scale-type synchronization of complex networks. Our results show that synchronization of mixed continuous-discrete complex networks can be realized by controlling delay-partitioning subgroup nodes with impulsive quantization. The theoretical results give scale-limited sufficient conditions for quantized synchronization relying on control gains, impulsive intervals, and delays. A numerical simulation is given to demonstrate the effectiveness of the theoretical results.																			1026-0226	1607-887X				OCT 13	2023	2023								7273140	10.1155/2023/7273140	http://dx.doi.org/10.1155/2023/7273140													WOS:001207526300001
J	Albak, EI				Albak, Emre Isa			Optimization design for circular multi-cell thin-walled tubes with discrete and continuous design variables	MECHANICS OF ADVANCED MATERIALS AND STRUCTURES												Wall thickness and the number of cells are important elements affecting crashworthiness. While wall thickness is expressed as the continuous design variable, the number of ribs and the number of inner structures are defined as the discrete design variable. Specific energy absorption is determined as the objective, peak crushing force is selected as the constraint. Surrogate models of these functions are obtained with artificial neural networks. A loop has been developed for the selection of the ideal parameters. The study revealed that the use of discrete and continuous design variables together improves crashworthiness.					ALBAK, Emre İsa/I-9483-2017	ALBAK, Emre İsa/0000-0001-9215-0775													1537-6494	1537-6532				SEP 26	2023	30	24					5091	5105		10.1080/15376494.2022.2111735	http://dx.doi.org/10.1080/15376494.2022.2111735		AUG 2022											WOS:000842292300001
J	Luathep, P; Sumalee, A; Lam, WHK; Li, ZC; Lo, HK				Luathep, Paramet; Sumalee, Agachai; Lam, William H. K.; Li, Zhi-Chun; Lo, Hong K.			Global optimization method for mixed transportation network design problem: A mixed-integer linear programming approach	TRANSPORTATION RESEARCH PART B-METHODOLOGICAL												This paper proposes a global optimization algorithm for solving a mixed (continuous/discrete) transportation network design problem (MNDP), which is generally expressed as a mathematical programming with equilibrium constraint (MPEC). The upper level of the MNDP aims to optimize the network performance via both expansion of existing links and addition of new candidate links, whereas the lower level is a traditional Wardrop user equilibrium CUE) problem. In this paper, we first formulate the UE condition as a variational inequality (VI) problem, which is defined from a finite number of extreme points of a link-low feasible region. The MNDP is approximated as a piecewise-linear programming (P-LP) problem, which is then transformed into a mixed-integer linear programming (MILP) problem. A global optimization algorithm based on a cutting constraint method is developed for solving the MILP problem. Numerical examples are given to demonstrate the efficiency of the proposed method and to compare the results with alternative algorithms reported in the literature. (C) 2011 Elsevier Ltd. All rights reserved.					Sumalee, Agachai/H-8419-2012; Lo, Hong K./C-5578-2013; li, zhi-chun/F-9865-2011; Sumalee, Agachai/AAP-3711-2020; Lam, William H.K./B-3590-2014; Luathep, Paramet/GRJ-0530-2022	Sumalee, Agachai/0000-0001-6648-1255; Lo, Hong K./0000-0002-3015-6431; li, zhi-chun/0000-0002-1451-0904; Lam, William H.K./0000-0002-7625-3712; 													0191-2615					JUN	2011	45	5					808	827		10.1016/j.trb.2011.02.002	http://dx.doi.org/10.1016/j.trb.2011.02.002													WOS:000291077100005
C	Hagiwara, I; Shi, QZ		Gu, YX; Duan, BY; Azegami, H; Kwak, BM		Hagiwara, I; Shi, QZ			Global optimum design to problems with continuous and discrete design variables	OPTIMIZATION OF STRUCTURAL AND MECHANICAL SYSTEMS, PROCEEDINGS					1st China/Japan/Korea Joint Symposium on Optimization of Structural and Mechanical Systems	OCT 31-NOV 04, 1999	XIAN, PEOPLES R CHINA	Dalian Univ Technol, Xidian Univ, State Educ Minist China, Chinese Assoc Computat Mech, Natl Nat Sci Fdn China, Japan Soc Mech Engineers, Japan Soc Civil Engineers, Korean Soc Mech Engineers, Korean Soc Civil Engineers, Computat Engn Inst Korea				In the research of optimization, the most significant issues involve the global optimum for multi-optima problem and the number of function evaluations, which is related to the cost of computation. In this study, to find the global optimum design efficiently, holographic neural network is introduced to be an activate function of response surface methodology to find the most probable optimal design. Since the accuracy of approximation function near the global optimal design is merely important, techniques to search the region of containing the global optimal design most in probability sense by using conditional random seeds, and techniques for finding more accurate approximation near the most probable global optimal design are exploited. The proposed approach called most probable optimal design (MPOD) method is employed to pick up one local optimum design which has the biggest probability in the design space. Design example of crash worthiness for the passenger injury with mixed continuous and discrete design variables are shown the validity of the method.																					7-5606-0796-9				1999							461	468																WOS:000177767800061
J	Chen, P; Nie, Y				Chen, Peng (Will); Nie, Yu (Marco)			Optimal design of demand adaptive paired-line hybrid transit: Case of radial route structure	TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW												This paper studies the design problem of a demand adaptive paired-line hybrid transit system with a radial network structure. Depending on whether the demand adaptive service is operated along circular or radial transit lines, two variants of such systems are considered: a Circular Model (or C-Model) and a Radial Model (or R-Model). A continuous approximation approach is employed to develop the optimal design problem, which is formulated as a mixed integer program. A comprehensive numerical experiment is performed to compare various cost components corresponding to the optimal design of the two systems, and a discrete-event simulation is developed to validate the analysis. Numerical and simulation results suggest that the radial route network outperforms the grid route network, which was analyzed previously in the literature, with a significant margin, while the C-Model and R-Model offer similar performance.					Nie, Yu/B-7083-2009; Nie, Yu/J-6620-2014	Nie, Yu/0000-0003-2083-470X													1366-5545					FEB	2018	110						71	89		10.1016/j.tre.2017.12.006	http://dx.doi.org/10.1016/j.tre.2017.12.006													WOS:000425483500005
J	Conde, E; Leal, M				Conde, Eduardo; Leal, Marina			A robust optimization model for distribution network design under a mixed integer set of scenarios	COMPUTERS & OPERATIONS RESEARCH												The design of a distribution network under uncertainty is addressed by using the minmax regret paradigm. Economic or technical uncertain factors may have a strong influence on the behavior of a distribution system and should be taken into account in the design process. These factors can affect to the construction and operating costs, origin or destination of the supplied commodities, required demands or arc capacities. In this paper, some of these uncertain parameters are supposed to be continuous while others are clearly discrete in nature, giving rise to a mixed integer set of scenarios under which the system may be assessed. We explore how to design a robust distribution network when the uncertainty in the continuous parameters is modeled through polyhedral sets combined with other sources of uncertainty for the discrete parameters. The corresponding optimization problem is solved using a Benders decomposition framework. Finally, a computational experiment with specialized solvers is carried out in order to test the efficiency of our algorithms.					Leal, Marina/ABE-3707-2021	Leal, Marina/0000-0001-7993-3695													0305-0548	1873-765X				DEC	2021	136								105493	10.1016/j.cor.2021.105493	http://dx.doi.org/10.1016/j.cor.2021.105493		AUG 2021											WOS:000691500900002
J	Liu, XY; Chen, Q				Liu, Xinyu; Chen, Qun			An Algorithm for the Mixed Transportation Network Design Problem	PLOS ONE												This paper proposes an optimization algorithm, the dimension-down iterative algorithm (DDIA), for solving a mixed transportation network design problem (MNDP), which is generally expressed as a mathematical programming with equilibrium constraint (MPEC). The upper level of the MNDP aims to optimize the network performance via both the expansion of the existing links and the addition of new candidate links, whereas the lower level is a traditionalWardrop user equilibrium (UE) problem. The idea of the proposed solution algorithm (DDIA) is to reduce the dimensions of the problem. A group of variables (discrete/continuous) is fixed to optimize another group of variables (continuous/discrete) alternately; then, the problem is transformed into solving a series of CNDPs (continuous network design problems) and DNDPs (discrete network design problems) repeatedly until the problem converges to the optimal solution. The advantage of the proposed algorithm is that its solution process is very simple and easy to apply. Numerical examples show that for the MNDP without budget constraint, the optimal solution can be found within a few iterations with DDIA. For the MNDP with budget constraint, however, the result depends on the selection of initial values, which leads to different optimal solutions (i.e., different local optimal solutions). Some thoughts are given on how to derive meaningful initial values, such as by considering the budgets of new and reconstruction projects separately.					Chen, Qun/HGD-0868-2022														1932-6203					SEP 14	2016	11	9							e0162618	10.1371/journal.pone.0162618	http://dx.doi.org/10.1371/journal.pone.0162618								27626803					WOS:000383680600048
J	Li, M; Lin, X; Chen, XQ				Li, Meng; Lin, Xi; Chen, Xi-qun			A surrogate-based optimization algorithm for network design problems	FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING												Network design problems (NDPs) have long been regarded as one of the most challenging problems in the field of transportation planning due to the intrinsic non-convexity of their bi-level programming form. Furthermore, a mixture of continuous/discrete decision variables makes the mixed network design problem (MNDP) more complicated and difficult to solve. We adopt a surrogate-based optimization (SBO) framework to solve three featured categories of NDPs (continuous, discrete, and mixed-integer). We prove that the method is asymptotically completely convergent when solving continuous NDPs, guaranteeing a global optimum with probability one through an indefinitely long run. To demonstrate the practical performance of the proposed framework, numerical examples are provided to compare SBO with some existing solving algorithms and other heuristics in the literature for NDP. The results show that SBO is one of the best algorithms in terms of both accuracy and efficiency, and it is efficient for solving large-scale problems with more than 20 decision variables. The SBO approach presented in this paper is a general algorithm of solving other optimization problems in the transportation field.					yang, yijing/JWO-8234-2024; lin, xi/GZL-4959-2022; zhen, wang/KBA-3844-2024; Chen, Xiqun (Michael)/D-9847-2015	Chen, Xiqun (Michael)/0000-0001-8285-084X													2095-9184	2095-9230				NOV	2017	18	11					1693	1704		10.1631/FITEE.1601403	http://dx.doi.org/10.1631/FITEE.1601403													WOS:000422941600002
J	Chen, TG; Ju, CH				Chen, Ting-gui; Ju, Chun-hua			A novel artificial bee colony algorithm for solving the supply chain network design under disruption scenarios	INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY												Today, many supply chain design decisions, such as facility location, are strategic in nature and very expensive to change. However, facilities in real world are always vulnerable to partial or complete disruptions. Owing to this reason, we firstly formulate the supply chain network design problem under disruption scenarios as a mixed-integer nonlinear program which maximises the total profit for the whole system. After that, in order to obtain near-optimal solutions with reasonable computational requirements for large problem instances, we have proposed a novel artificial bee colony (ABC) algorithm for solving this problem. Unlike other continuous optimisation problems, the supply chain network design problem under disruption scenarios is a classical discrete NP-hard one. Therefore, the proposed ABC algorithm applies discrete operators to generate new neighbouring food sources for the employed bees, onlookers and scouts. Subsequently, the computational simulations reveal very promising results in terms of the quality of solution.																			0952-8091	1741-5047					2013	47	2-3					289	296		10.1504/IJCAT.2013.054361	http://dx.doi.org/10.1504/IJCAT.2013.054361													WOS:000422495200019
