PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Sun, YG; Tian, YZ; Xie, XJ				Sun, Yuangong; Tian, Yazhou; Xie, Xue-Jun			Stabilization of Positive Switched Linear Systems and Its Application in Consensus of Multiagent Systems	IEEE TRANSACTIONS ON AUTOMATIC CONTROL																		Tian, Yazhou/0000-0001-7762-4477													0018-9286	1558-2523				DEC	2017	62	12					6608	6613		10.1109/TAC.2017.2713951	http://dx.doi.org/10.1109/TAC.2017.2713951													WOS:000417090000054
J	Kim, JK; Smith, R				Kim, JK; Smith, R			Automated design of discontinuous water systems	PROCESS SAFETY AND ENVIRONMENTAL PROTECTION																	Smith, Robin J/P-3019-2016														0957-5820	1744-3598				MAY	2004	82	B3					238	248		10.1205/095758204323066000	http://dx.doi.org/10.1205/095758204323066000													WOS:000221651600007
J	Ali, W; Li, YA; Raja, MAZ; Khan, WU; He, YG				Ali, Wasiq; Li, Yaan; Raja, Muhammad Asif Zahoor; Khan, Wasim Ullah; He, Yigang			State Estimation of an Underwater Markov Chain Maneuvering Target Using Intelligent Computing	ENTROPY																	Raja, Muhammad Asif Zahoor/D-7325-2013; Awais, Muhammad/HCI-3725-2022; Khan, Wasim Ullah/HKN-5802-2023	Raja, Muhammad Asif Zahoor/0000-0001-9953-822X; Ali, Wasiq/0000-0002-0868-334X; Li, Yaan/0000-0001-5973-9780														1099-4300				SEP	2021	23	9							1124	10.3390/e23091124	http://dx.doi.org/10.3390/e23091124								34573749					WOS:000700707900001
J	Anup, S; Sivakumar, SM; Suraishkumar, GK				Anup, S.; Sivakumar, S. M.; Suraishkumar, G. K.			Influence of viscoelasticity of protein on the toughness of bone	JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS																	S, Anup/N-5390-2016	Srinivasan, Sivakumar M/0000-0002-5095-1176; Suraishkumar, GK/0000-0002-6521-4494													1751-6161	1878-0180				APR	2010	3	3					260	267		10.1016/j.jmbbm.2009.10.007	http://dx.doi.org/10.1016/j.jmbbm.2009.10.007								20142110					WOS:000274716400004
J	Cobeña, B; Contreras, I; Martínez-Merino, LI; Rodríguez-Chía, AM				Cobena, Brenda; Contreras, Ivan; Martinez-Merino, Luisa I.; Rodriguez-Chia, Antonio M.			The profit-oriented hub line location problem with elastic demand	COMPUTERS & OPERATIONS RESEARCH																	Rodríguez-Chía, Antonio Manuel/K-4435-2014	Rodríguez-Chía, Antonio Manuel/0000-0002-1708-2108; Martinez-Merino, Luisa I./0000-0002-3386-9648													0305-0548	1873-765X				NOV	2023	159								106335	10.1016/j.cor.2023.106335	http://dx.doi.org/10.1016/j.cor.2023.106335		JUL 2023											WOS:001041044200001
J	Praeger, M; Xie, YH; Grant-Jacob, JA; Eason, RW; Mills, B				Praeger, Matthew; Xie, Yunhui; Grant-Jacob, James A.; Eason, Robert W.; Mills, Ben			Playing optical tweezers with deep reinforcement learning: in virtual, physical and augmented environments	MACHINE LEARNING-SCIENCE AND TECHNOLOGY																	Grant-Jacob, James/GZK-9967-2022; Praeger, Matthew/ABB-1939-2021	Grant-Jacob, James/0000-0002-4270-4247; Praeger, Matthew/0000-0002-5814-6155; Mills, Benjamin/0000-0002-1784-1012; Xie, Yunhui/0000-0002-8841-7235; Eason, Robert/0000-0001-9704-2204														2632-2153				SEP	2021	2	3							035024	10.1088/2632-2153/abf0f6	http://dx.doi.org/10.1088/2632-2153/abf0f6													WOS:000663130800001
J	de Rosa, GH; Papa, JP				de Rosa, Gustavo H.; Papa, Joao P.			A survey on text generation using generative adversarial networks	PATTERN RECOGNITION																		de Rosa, Gustavo Henrique/0000-0002-6442-8343													0031-3203	1873-5142				NOV	2021	119								108098	10.1016/j.patcog.2021.108098	http://dx.doi.org/10.1016/j.patcog.2021.108098		JUN 2021											WOS:000679471100006
C	Rabi, M; Baras, JS			IEEE	Rabi, Maben; Baras, John S.			Level-triggered control of a scalar linear system	2007 MEDITERRANEAN CONFERENCE ON CONTROL & AUTOMATION, VOLS 1-4	Mediterranean Conference on Control and Automation				15th Mediterranean Conference on Control and Automation	JUN 27-29, 2007	Athens, GREECE	ADVANTECH SA, Univ Texas Arlington, Automat & Robot Res Inst, Natl Tech Univ Athens, Tech Univ Crete, Univ S Florida, Univ Zagreb, IEEE Control Syst Soc, IEEE Robot & Automat Soc, Mediterranean Control Assoc										Rabi, Maben/0000-0003-1155-5717													2325-369X		978-1-4244-1281-5				2007							1896	+																WOS:000257100800323
J	Liu, YY; Chu, YK; Che, WW				Liu Ying-ying; Chu Yun-kai; Che Wei-wei			Guaranteed cost control of networked control systems under limited communication capacity and variable sampling	JOURNAL OF CENTRAL SOUTH UNIVERSITY																															2095-2899	1993-0666				MAR	2014	21	3					978	986		10.1007/s11771-014-2027-z	http://dx.doi.org/10.1007/s11771-014-2027-z													WOS:000333116900020
J	Lin, YF				Lin, Yi-Fong			Solution Approach for Bus Transit Model with a Rectangular Service Area	MATHEMATICS																		Lin, Yi - Fong/0000-0003-3728-1013														2227-7390				FEB	2022	10	3							514	10.3390/math10030514	http://dx.doi.org/10.3390/math10030514													WOS:000756025200001
C	Petersen, F; Borgelt, C; Kuehne, H; Deussen, O		Ranzato, M; Beygelzimer, A; Dauphin, Y; Liang, PS; Vaughan, JW		Petersen, Felix; Borgelt, Christian; Kuehne, Hilde; Deussen, Oliver			Learning with Algorithmic Supervision via Continuous Relaxations	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021)	Advances in Neural Information Processing Systems				35th Conference on Neural Information Processing Systems (NeurIPS)	DEC 06-14, 2021	ELECTR NETWORK										Deussen, Oliver/HKF-2004-2023; Kuehne, Hilde/AAW-6860-2021	Kuehne, Hilde/0000-0003-1079-4441													1049-5258						2021	34																							WOS:000922928206040
J	Afshar, MH; Akbari, M; Mariño, MA				Afshar, M. H.; Akbari, M.; Marino, M. A.			Simultaneous Layout and Size Optimization of Water Distribution Networks: Engineering Approach	JOURNAL OF INFRASTRUCTURE SYSTEMS																	Akbari, Mahmood/N-3149-2018; Afshar/S-8867-2018	afshar, mohammad hadi/0000-0002-8270-2086; Akbari, Mahmood/0000-0002-1319-6079													1076-0342					DEC	2005	11	4					221	230		10.1061/(ASCE)1076-0342(2005)11:4(221)	http://dx.doi.org/10.1061/(ASCE)1076-0342(2005)11:4(221)													WOS:000208505500004
J	Baghalian, A; Rezapour, S; Farahani, RZ				Baghalian, Atefeh; Rezapour, Shabnam; Farahani, Reza Zanjirani			Robust supply chain network design with service level against disruptions and demand uncertainties: A real-life case	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	Zanjirani Farahani, Reza/KCJ-6714-2024	Zanjirani Farahani, Reza/0000-0002-7383-4714													0377-2217	1872-6860				MAY 16	2013	227	1					199	215		10.1016/j.ejor.2012.12.017	http://dx.doi.org/10.1016/j.ejor.2012.12.017													WOS:000314858100021
